subject,object,predicates
pedestrian,pavement,"['were', 'knocked', 'wait', 'walk', 'been', 'prioritise', 'stepping', 'run', 'grinding', 'struck', 'connected', 'take', 'hit', 'be', 'getting', 'park', 're', 'ploughed', 'facing', 'happen', 'laid', 'said', 'shared', 'encroaching', 'driving', 'don', 'was', 'got', 'injured', 'going', 'fall', '’s', 'blame', 'knock', 'create', 'is', 'flipped', 'meet', 'educating', 'improve', 'laying', 'go', 'collapses', 'prove', 'permit', 'are', 'dies', 'mounted', 'fit', 'walking', 'ride', 'clarify', 'ckeck', 'named', 'has', 'looked', 'crossing', 'fled', 'parked', 'killed', 'thought', 'causing', 'offers', 'use', 'causes', 'get', 'captured', 'makes', 'blocking', 'attracts', 'cause', 'considered', 'sliding', 'enforced', 'died', 'worry', 'check', 'replace', 'jump', 'coming', 'mown', 'knocking', 'provide', 'hanging', 'do', 'blocked', 'stay', 'broke', 'drove', 'am', 'hear', 'letting', 'taken', 'killing', 'deemed', 'target', 'ruin', 'keep', 'buried', 'own', 'give', 'crashes', 'looking', 'slow', 'leads', 'diverted', 'dunk', 'make', 'dodging', 'passed', 'stop', 'assured', 'strolls', 'takes', 'write', 'end', 'appreciates', 'kept', 'turn', 'smash', 'lying', 'entitled', 'did', 'strewn', 'cycling', 'have', 'crashing']"
pedestrian,line,"['installed', 'suspends', 'closed', 'look', 'be', 'killed', 'follow', 'pronounced', 'drinking', 'crossed', 'looking', 'expect', 'fined', 'stand', 'is', 'stop', 'looked', 'struck', 'announced', 'built', 'coped', 'affected', 'stare', 'walked', 'go', 'supposed', 'going', 'respect', 'running', 'putting', 'get', 'put', 'hit', 'walk', 'offered', 'draw', 'happened', 'corrected', 'according', 'crossing', 'cleaves', 'qualifies', 'see', 'stopped', 'were', 'boarding', 'looks', 'called', 'halted', 'reported', 'warrant', 'stuck', 're', 'arriving', 'traveling', 'enjoy', 'reaches', 'committing', 'stalls', 'love', 'being', 'kws', 'delaying', 'run', 'went', 'miss', 'are', 'finished', 'say', 'took', 'stops', 'works', 'disrupted', 'been', 'hits', 'said', 'know', 'made', 'resumes', 'converted', 'exit', 'win', 'picked', 'suspended', 'peeled', 'drive', 'make', 'cross', 'change', 'blocking', 'park', 'doing', 'moving', 'gives', 'happen', 'revved', 'come', 'provide', 'mooted', 'deserved', 'develop', 'wondering', 'terminate', 'coming', '’s', 'juggle', 'eliminating', 'fuck', 'tracks', 'have', 'serving', 'produced', 'driving', 'lose', 'hitting', 'programmed', 'starting', 'blinding', 'sounds', 'watch', 'tt', 'post', 'fall', 'thrown']"
pedestrian,vehicle,"['identified', 'say', 'closed', 'charged', 'rendering', 'implement', 'struck', 'killed', 'flown', 'is', 'thank', 'find', 'transported', 'driving', 'appears', 'awaiting', 'hit', 'made', 'knock', 'run', 'injures', 'motorized', 'are', 'injured', 'says', 'designated', 'investigating', 'hits', 'shut', 'threatening', 'received', 'ride', 'causing', 'assaulted', 'motorised', 'drove', 'faces', 'died', 'dies', 'said', 'diverted', 'exited', 'cross', 'crossing', 'be', 'call', 'make', 'knocked', 'blocked', 'involved', 'happened', 'crossed', 'rolls', 'reported', 'headed', 'falls', 'kills', 'yield', 'have', 'according', 'westbound', 'walking', 'fled', 'speeding', 'investigates', 'adhere', 'continued', 'suffers', 'succumbs', 'avoid', 'missing', 'had', 'closes', 'crashing', 'strikes', 'cooperating', 'limited', 'cause', 'honks', 'seen', 'told', 'remained', 'crows', 'correct', 'crashed', 'booked', 'swerving', 'was', 'sitting', 'were', 'hwy', 'thrown', 'coming', 'collided', 'cbs', 'confirm', 'runs', 'closing', 'drive', 'remain', 'walked', 'has', 'pronounced', 'restricted', 'heading', 'enter', 'take', 'miss', 'blvd', 'provided', 'involve', 'stuck', 'lying', 'turning', 'wed', 'walk', 'don', 'taken', 'paints', 'responding', 'slams', 'working', 'fixed', 'extricate', 'impacted', 'operating', 'jumps', 'shopping', 'causes', 'bought', 'fell', 'am', 'passing', 'sped', 'including', 'left', 'iclosed', 'loved', 'look', 'hurt', 'using', '’s', 'confirmed', 'described', 'feeddigest', 'need', 'burns', 'responded', 'stay', 'arraigned', 'walks', 'opens', 'plowed', 'involving', 'caused', 'investigate', 'sustained', 'sent', 'starts', 'northbound', 'reopening', 'happens', 'expect', 'stops', 'driven', 'suspected', 'include', 'moved', 'think', 'respond', 'called', 'rolled', 'know', 'standing', 'hospitalized', 'murdered', 'southbound', 'started', 'attend', 'took', 'getting', 'succumbed', 'insured', 'block', 'laying', 'moving', 'appear', 'pass', 'torched', 'flung', 'expected', 'dodging', 'clipped', 'dispatched', 'running', 'passed', 'speak', 'done', 'affected', 'read', 'requesting', 'assisted', 'killing', 'injure', 'do', 'bring', 'arrested', 'looking', 'mowed', 'leaving', 'nottingham', 'veers', 'scheduled', 'occurred', 'stayed', 'watch', 'rushed', 'rescued', 'forcing', 'cited', 'report', 'colliding', 'wasn', 'released', 'staying', 'sought', 'ban', 'march', 'wanders', 'treated', 'blocking', 'tuned', 'towed', 'went', 'airlifted', 'known', 'stopped', 'slow', 'results', 'waited', 'let', 'follow', 'crashes', 'try', 'being', 'considered', 'mahoning', 'go', 'entitled', 'making', 'pushing', 'perform', 'backed', 'building', 'got', 'fleeing', 'doing', 'ave', 'removed', 'appeared', 'investigated', 'sustains', 'pending', 'jumped', 'give', 'exiting', 'reopened', 'ran', 'combined', 'declined', 'huddersfield', 'crack', 'clicking', 'stepping', 'identify', 'seeking', 'been', 'ems', 'published', 'suffered', 'check', 'shuts', 'blanding', 'cover', 'reporting', 'win', 'searching', 'see', 'disincentivize', 'sat', 'overheard', 'describe', 'revere', 'claimed', 'dragged', '’m', 'ignores', 'die', 'cpr', 'jun', 'blocks', 'injuring', 'become', 'approaching', 'reopen', 'notified', 'acted', 'hitting', 'budge', 'blame', 'stepped', 'backs', 'receiving', 'figure', 'filed', 'leaves', 'opened', 'get', 'lehigh', 'help', 'pat', 'court', 'trapped', 'surviving', 'flee', 'slowing', 'did', 'qualified', 'clogged', 'rammed', 'defend', 'complaining', 'bound', 'improve', 'reversing', 'related', 'struckherald', 'playing', 'intoxicated', 'prioritise', 'shot', 'arrive', 'throw', 'hosp', 'settled', 'fighting', 'review', 'darting', 'led', 'cleared', 'hailed', 'protect', 'adds', 'vereeniging', 'arrived', 'pinned', 're', 'come', 'chilling', 'kk', 'phx', 'deserves', 'extricating', 'use', 'shutting', 'quoting', 'slows', 'striking', 'learn']"
pedestrian,mall,"['think', 'arrested', 'shot', 'replaced', 'goin', 'gets', 'killed', 'proposed', 'hurt', 'threatening', '’s', 'getting', 'hit', 'connecting', 'coming', 'closing', 'is', 'marks', 'sped', 'turning', 'join', 'keep', 'know', 'see', 'enforce', 'need', 'take', 'grind', 'meet', 'yield', 'pouring', 'do', 'going', 'struck', 'kick', 'semua', 'works', 'paving', 'opp', 'wandering', 'evades', 'picture', 'ask', 'walking', 'come', 'comes', 'connect', 'creating', 'sign', 'suffers', 'walk', 'flowing', 'enter', 'call', 'killing', 'knocked', 'linking', 'causes', 'left', 'sold', 'step', 'driving', 'pay', 'exploded', 'turn', 'love', 'says', 'shaking', 'transform', 'kemang', 'have', 'injured', 'get', 'pick', 'blocks', 'dies', 'view', 'tolerate', 'opened', 'recorded', 'signed', 'scheduled', 'olde', 'catch', 'taking', 'go', 'make', 'opens', 'eroding', 'thrive', 'held', 'bite', 'put', 'been', 'got', '’re', 'reduce', 'fill', 'installed', 'sue', 'tearing', 'be', 'was', 'completed', 'remade', 'increase', 'grab', 'reopening', 'closed', 'recognize', 'looking', 'having', 'suffered', 'intersects', 'nears', 'seen', 'beijing', 'bound', 'sent', 'crossing', 'reopened', 'reported', 'featured', 'won', 'remember', 'delayed', 'look', 'squate', 'selling', 'whispers', 'routed', 'slackened', 'pass', 'am', 'encourage', 'moved', 'akses', 'visit', 'walks', 'improve', 'taken', 'gather', 'banning']"
pedestrian,plaza,"['hate', 'make', 'check', 'killed', 'is', 'dismantle', 'positioned', 'transforming', 'have', 'yield', 'irked', 'entwined', 'demonstrate', 'get', 'build', 'love', 'ht', 'identified', 'miss', 'be', 'struck', 'walking', 'see', 'fed', 'look', 'approach', 'gives', 'set', 'returning', 'goes', 'reduce', 'said', 'used', 'enjoy', 'flowed', 'creating', 'reversed', 'heard', 'revealed', 'looks', 'indulge', 'hurting', 'improve', 'says', 'flushing', 'featured', 'contribute', 'visit', 'monitored', 'happened', 'visited', 'walk', 'parked', 'pershing', 'rains', 'read', 'done', 'proposing', 'convert', 'use', 'experience', 'speak', 'routing', 'opened', 'dies', 'constructed', 'seeing', 'say', 'was', 'light', 'run', 'stop', 'dumont', 'are', 'weigh', 'given', 'utilised', 'baltimore', 'eliminate', 'sitting', 'mapping', 'regard', 'thought', 'made', 'alleviate', 'planned', 'carves', 'provide', 'want', 'sounds', 'going', 'opens', 'do', 'don', 'speaks', 'crossing', 'wants', 'roaming', 'lead', 'injured', 'live', 'shopping', 'watch', 'completed', 'put', 'fuck', 'turn', 'become', 'hit', 'thinking', 'riding', 'guessed', 'threatening', 'reroute', 'save', 'connect', 'seating', 'give', 'educate', 'catch', 'reported', 'closing', 'closed', 'leaving', 'shot', 'download', 'bowling']"
traffic,junctions,"['hit', 'injured', 'ing', 'runs', 'are', 'cope', 'done', 'allow', 'turning', 'removed']"
car,footpath,"['are', 'intervened', 'is', 'sitting', 'taken', 'meant', 'walk', 'has', 'walked', 'dumped', 'struck', 'have', 'waiting', 'parked']"
vehicle,collision,"['dispatched', 'fled', 'closed', 'run', 'responding', 'pull', 'consider', 'avoid', 'expect', 'involved', 'seen', 'according', 'help', 'was', 'watch', 'otw', 'thank', 'investigate', 'has', 'investigating', 'pay', 'dies', 'collided', 'see', 'struck', 'blocked', 'transported', 'are', 'killed', 'continued', 'continue', 'is', 'involving', 'remained', 'say', 'shut', 'received', 'spoken', 'use', 'arrested', 'happened', 'resulted', 'found', 'running', 'attending', 'cdk', 'be', 'grab', 'responded', 'diverted', 'injured']"
collision,walker,"['follow', 'is']"
pedestrian,path,"['mind', 'get', 'stop', 'left', 'overtake', 'smashed', 'do', 'done', 'crossing', 'see', 'is', 'stand', 'shared', 'gong', 'link', 'blocking', 'creating', 'be', 'create', 'used', 'covers', 'walking', 'needs', 'opens', 'maintained', 'paving', 'blocked', 'cross', 'find', 'elevated', 'took', 'make', 'dies', 'watch', 'driving', 'littered', 'created', 'occupied', 'take', 'endangering', 'talking', 'drive', 'walk', 'build', 'kicked', 'want', 'put', 'have', 'doing', 'seen', 'closed', 'driven', 'bit', 'commented', '’m', 'call', 'say', 'fenced', 'ran', 'connect', 'pay', 'valued', 'isolates', 'passing', 'coming', 'die', 'check', 'are', 'connected', 'close', 'saw', 'jump', 'shouts', 'living', 'locked', 'works', 'standing', 'terrified', 'latch', 'shout', 'riding', 'climbing', '’s', 'ride', 'landscaped', 'use', 'rebound', 'soaked', 'imagine', 'add', 'protruding', 'installing', 'looking', 'found', 'walked', 'cycling', 'cleared', 'protected', 'mourn', 'fingerprinted', 'featuring', 'move', 'happen', 'pick', 'was', 'forcing', 'ruin', 'rose', 'going', 'block', 'prick', 'run', 're', 'hit', 'removed', 'brace', 'worry', 'recreate', 'work', 'turn', 'cracked', 'petalled', 'said', 'reach', 'know', 'moved', 'missed', 'providing', 'been', 'pass', 'don', 'narrowed', 'creates', 'enhance', 'help', 'usurped', 'flowing', 'divided', 'dealing', 'added', 'sharing', 'remains', 'repaved', 'dare', 'am', 'creek', 'says', 'scream', 'elbowed', 'hold', 'remaking', 'surfaced', 'shoveled', 'parked', 'ending', 'arnold', 'running', 'follow', 'using', 'defined', 'pushed', 'engage', 'constitute']"
route,way,"['crossing', 'installed', 'slow', 'demolished', 'be', 'is', 'link', 'take', 'didn', 'creates', 'stop', 'blocking']"
pedestrian,crossing,"['hit', 'decelerate', 'use', 'is', 'approach', 'thank', 'processed', 'be', 'relocated', 'escort', 'pressing', 'traveling', 'swerve', 'injured', 'double', 'make', 'turning', 'seems', 'have', 'done', 'drawn', 'are', 'makes', 'put', 'understand', 'replace', 'slow', 'advising', 'watching', 'meet', 'causing', 'write', 'stop', 'reunited', 'turns', 'drive', 'boosted', 'show', 'was', 'gets', 'fixed', 'do', 'see', 'installed', 'killed', 'think', 'begun', 'means', 'ploughs', 'going', 'holt', 'showing', 'boo', 'cost', 'pressed', 'install', 'struck', 'prioritize', 'being', 'britain', 'complete', 'seeing', 'walking', 'found', 'missed', 'cross', 'allow', 'identified', 'belongs', 'look', 'change', 'made', 'planned', 'increased', 'foot', 'hate', 'waiting', 'beg', 'used', 'creating', 'knock', 'tout', 'approved', 'avoid', 'running', 'went', '’s', 'looking', 'obstructed', 'run', 'suggesting', 'finished', 'work', 'propose', 'shape', 'sending', 'walk', 'provided', 'ignored', 'assessed', 'say', 'creek', 'owns', 'reach', 'add', 'get', 'lead', 'believe', 'suffers', 'parked', 'standing', 'tabled', 'imagine', 'grant', 'go', 'blocking', 'improve', 'beat', 'said', 'telling', 'advised', 'pretending', 'had', 'meant', 'needed', 'protected', 'line', 'happened', 'spend', 'designed', 'reintroduced', 'saw', 'crossing', 'ride', 'wait', 'flooded', 'leading', 'driving', 'using', 'speed', 'signals', 'changed', 'goes', 'coming', 'accommodate', 'tempted', 'spotted', 'blocked', 'divided', 'created', 'conducted', 'reported', 'obstruct', 'theres', 'harassed', 'teed', 'face', '’re', 'clear', 'stay', 'opened', 'stuck', 'landed', 'hurt', 'legitimize', 'suffice', 'moving', 'pedxing', 'getting', 'wear', 'jaywalking', 'built', 'parting', 'jump', 'including', 'keep', 'give', 'heading', 'stopped', 'facing', 'follow', 'starts', 'wave', 'decommissioned', 'let', 'helped', 'return', 're', 'crosses', 'expected', 'died', 'deprioiritises', 'raise', 'read', 'occurred', 'block', 'adding', 'switch', 'love', 'thought', 'wandering', 'were', 'turned', 'been', 'crashes', 'gave', 'bring', 'abandoned', 'kill', 'happen', 'has', 'called', 'dies', 'reaching', 'fuck', 'modeled', 'take', 'start', 'create', 'checking', 'speeding', 'threw', 'annoys', 'pay', 'flew', 'came', 'help', 'impaired', 'asking', 'fitted', 'sort', 'share', 'does', 'wearing', 'observing', 'halt', 'request', 'know', 'mowing', 'installing', 'venice', 'fix', 'tell', 'seen', 'held', 'knocked', 'winding', 'requires', 'pick', 'led', 'mistaken', 'looked', 'highlighted', 'educated', 'greg', 'spencer', 'dismounting', 'rode', 'takes', 'wasn', 'scorching', 'xing', 'cope', 'making', 'shouted', 'remove', 'replacing', 'solve', 'stopping', 'taken', 'misses', 'train', 'directed', 'ru', 'wavazh', 'needs', 'coloured', 'press', 'existing', 'staggered', 'causes', 'want', 'connect', 'deluded', 'collide', 'removed', 'jaywalk', 'ascertain', 'allowed', 'invented', 'loses', 'ai', 'entering', 'appalachian', 'inhale', 'upgraded', 'come', 'appears', 'shouts', 'touched', 'doing', 'walked', 'stops', 'need', 'treating', 'blares', 'call', 'linking', 'become', 'raised', 'jog', 'walks', 'grazed', 'find', 'speaks', 'pushing', 'works', 'apply', 'ran', 'cock', 'dodge', 'cause', 'having', 'installs', 'gone', 'jumping', 'happe', 'notice', 'leave', 'passing', 'obeying', 'got', 'helps', 'kicked', 'miss', 'attending', 'paved', 'stays', 'calmed', 'bear', 'wouldnt', 'feels', 'fxxked', 'fight', 'meander', 'unravel', 'runs', 'repainted', 'spread', 'connects', 'brightened', 'horned', 'mowed', 'overtake', 'abiding', 'complimented', 'straddling', 'own', 'yield', 'slipped', 'following', 'pass', 'resurfaced', 'shouting', 'stared', 'enforce', 'ending', 'putting']"
car,pavement,"['ploughs', 'collides', 'mounting', 'involving', 'parked', 'overturning', 'took', 'fuck', 'help', 'laughed', 'cross', 'hit', 'is', 'reach', 'blocking', 'take', 'focus', 'pushed']"
pedestrian,crosswalk,"['doing', 'warned', 'fixed', 'killed', 'serving', 'laying', 'be', 'led', 'fled', 'carries', 'being', 'hit', 'calls', 'crossing', 'have', 'died', 'struck', 'faded', 'remains', 'exercise', 'don', 'add', 'ramming', 'committed', 'go', 'passing', 'ugh', 'clear', 'happening', 'collapsing', 'was', 'charged', 'roll', 'drive', 'arrested', 'stops', 'getting', 'jogging', 'identified', 'dare', 'using', 'slow', 'parking', 'inspired', 'put', 'meant', 'forced', 'needed', '’s', 'stay', 'proceeding', 'handling', 'steal', 'mean', 'confused', 'blocking', 'been', 'walking', 'stunned', 'discover', 'reached', 'save', 'feeling', 'settles', 'say', 'come', 'touches', 'activated', 'completed', 'investigating', 'take', 'freaking', 'is', 'provide', 'cross', 'think', 'wait', 'flows', 'need', 'left', 'dies', 'running', 'side', 'worry', 'has', 'survive', 'induce', 'said', 'plea', 'walk', 'does', 'driving', 'run', 'are', 'hate', 'suspected', 'occurred', 'do', 'step', 'wants', 'walked', 'point', 'scramble', 'install', 'had', 'installing', 'lougheed', 'zoomed', 'starts', 'stop', 'get', 'state', 'enhances', 'yielded', 'asked', 'yield', 'occur', 'looked', 'pay', 'complete', 'use', 'threatening', 'stare', 'stayed', 'enter', 'released', 'speeding', 'changing', 'jaywalked', 'look', 'apologize', 'beg', 'fuck', 'looking', 'takes', 'happened', 'stepping', 'nailed', 'reduce', 'displaced', 'according', 'prevent', 'acknowledging', 'injured', 'breaking', 'question', 'waving', 'taken', 'turning', 'documented', 'foh', 'exist', 'closing', 'says', 'knows', 'steals', 'watch', 'thank', 'serve', 'address', 'drop', 'receiving', 'blaring', 'learn', 'surrounding', 'victoria', 'murder', 'wearing', 'frowned', 'sitting', 'avoid', 'operated', 'closed', 'lift', 'beware', 'navigate', 'honk', 'align', 'block', 'train', 'parked', 'pronounced', 'notice', 'makes', 'push', 'ride', 'crossed', 'protected', 'smoked', 'laughing', 'matter', 'lifted', 'letting', 'help', 'starting', 'screams', 'continue', 'obey', 'blasted', 'flashing', 'hurt', 'im', 'facing', 'count', 'painted', 'controlled', 'murdered', 'jaywalking', 'making', 'stuck', 'lacks', 're', 'zooms', 'goes', 'make', 'murdering', 'proceed', 'respected', 'airlifted', 'imagine', 'miss', 'flees', 'yielding', 'yelling', 'tipped', 'guarded', 'delayed', 'installed', 'headed', 'sign', 'gets', 'combat', 'hurry', 'keep', 'improve', 'whore', 'lighted', 'surprised', 'built', 'conduct', 'cited', 'talking', 'encroaching', 'see', 'magnifies', 'fight', 'requires', 'fix', 'stopping', 'laugh', 'fb', 'distracted', 'maximize', 'cutting', 'asking', 'demanding', 'paved', 'helping', 'commissioned', 'kill', 'driven', 'dodging', 'designated', 'means', 'am', 'striking', 'blow', 'turned', 'ignoring', 'hitting', 'include', 'doesn', 'warning', 'done', 'leads', 'kills', 'implies']"
pedestrian,loop,"['putting', 'crossing', 'involving', 'add', 'hit', 'closes', 'hurt', 'struck', 'was', 'am', 'seen', 'spans', 'killed', 'run', 'closed', 'reported', 'gets', 'stuck', 'stayed', 'avoid', 'cross', 'be', 'shut', 'living', 'being', 'stop', 'identified', 'flying', 'walking', 'said', 'waiting', 'fled', 'directing', 'complete', 'do', 'is', 'corral', 'irving', 'get', 'needed', 'installed', 'headed', 'attacked', 'falling', 'had', 'landed', 'create', 'biking', 'thank', 'gone', 'dies', 'injured', 'look', 'routing', 'experience', 'going', 'extends', 'scramble', 'connect', 'close', 'got', 'found', 'fixed', 'read', 'worked', 'listening', 'rerouting', 'hits', 'idk', 'begins', 'resembles', 'felt', 'kills', 'expose', 'throws', 'test', 'investigating', 'taken', 'opens', 'noticed', 'step', 'love', 'charged']"
pedestrian,lane,"['avoid', 'heading', 'made', 'hate', 'fuccing', 'navigate', 'assist', 'aren', 'look', 'thank', 'hit', 'believe', 'speeding', 'struck', 'know', 'happen', 'blocked', 'mamsh', 'got', 'walk', 'closed', 'bayad', 'add', 'stops', 'closes', 'opened', 'heard', 'hope', 'jaywalk', 'approach', 'leafleted', 'change', 'ar', 'fighting', 'have', 'running', 'are', 'involving', 'tsaka', 'is', 'proceeding', 'be', 'looked', 'stay', 'took', 'threatening', 'killed', 'cebu', 'accommodate', 'tanginang', 'stopping', 'fuck', 'join', 'sound', 'was', 'covered', 'bound', 'confirmed', 'hold', 'whispered', 'entitled', 'stepping', 'booted', 'cooperating', 'act', 'reported', 'turned', 'blocking', '’re', 'wasted', 'become', 'using', 'narrows', 'operating', 'reduces', 'wandering', 'read', 'crossing', 'works', 'spun', '’m', 'flowing', 'drop', 'judging', 'reduced', 'matatagpuan', 'widen', 'yield', 'having', 'slammed', 'falls', 'connect', 'tried', 'block', 'use', 'filled', 'done', 'strutting', 'apologize', 'giving', 'implemented', 'get', 'keep', 'sets', 'provide', 'shuts', 'manning', 'make', 'painted', 'take', 'thinking', 'solved', 'involved', 'says', 'seek', 'according', 'slowing', 'following', 'standing', 'scratched', 'wanted', 'break', 'asked', 'walking', 'ends', 'esp', 'subscribe', 'calls', 'blow', 'allow', 'encountered', 'pass', 'winding', 'kisses', 'disguise', 'lost', 'think', 'working', 'turning', 'feels', 'calling', 'see', 'fixed', 'shared', 'sa', 'expect', 'seeking', 'die', 'wait', 'staying', 'mowed', 'pay', 'caused', 'deployed', 'obstructed', 'shortened', 'moving', 'charge', 'don', 'notice', 'sign', 'suffer', 'commit', 'opens', 'cutting', 'won', 'co', 'investigate', 'maintained', 'sat', 'blocks', 'cross', 'receiving', 'taken', 'protected', 'driving', 'rest', 'forcing', 'kidding', 'being', 'reach', 'slowed', 'affect', 'feel', 'back', 'hurt', 'yieeee', 'ipagamit', 'follow', 'parked', 'move', 'getting', 'gets', 'pose', 'jaywalking', 'feeling', 'behave', 'compensated', 'want', 'cleaning', 'contra', 'sorting', 'tells', 'tama', 'hits', 'happened', 'dropped', 'seen', 'eat', 'added', 'twisted', 'murag', 'ride', 'looking', 'did', 'reconfigure', 'answered', 'repair', 'check', 'run', 'cares', 'nag', 'shouted', 'hes', 'harris', 'walked', 'ako', 'tell', 'contacted', 'am', 'drive', 'sue', 'call', 'find', 'hitting', 'go', 'paid', 'chose', 'accept', 'service', 're', 'prove', 'replace', 'abide', 'been', 'yelled', 'occurred', 'making', 'reopened', 'stop', 'disappear', 'prompts', 'came', 'going', 'runming', 'sounds', 'flailed', 'enforce', 'turns', 'has', 'tend', 'ngang', 'mabalyo', 'repainting', 'passing', 'swerve', 'designing', 'sitting', 'granted', 'caught', 'pulls', 'rained', 'holding', 'magandang', 'own', 'put', 'clutching', 'functioning', 'do', 'bumped', 'nga', 'share', 'remaining', 'lose', 'sana', 'backed', 'love', 'building', 'merged', 'prioritized', 'offer', 'iba', 'looks', 'blew', 'miss', 'register', 'clear', 'wander']"
collision,southbound,['closes']
pedestrian,boulevard,"['stayed', 'killed', 'improve', 'struck', 'hit', 'injured', 'walking', 'coming', 'floated', 'closed', 'related', 'run', 'crossing', 'close', 'am', 'knocked', 'dies', 'was', 'reduce', 'driving', 'helped', 'working', 'identified', 'shuts', 'died', 'treat', 'seek', 'yield', 'according', 'say', 'closes', 'kanawha', 'cross', 'making', 'marked', 'reported', 'works', 'is', 'stuck', 'investigating', 'called', 'moving', 'shut', 'see', 'installed', 'went', 'need', 'checks', 'affected', 'be', 'running', 'avoid', 'drive', 'like', 'stepped', 'rushed', 'wyomissing', 'set', 'dispatched', 'come', 'catch', 'use', 'occurred', 'surrounded', 'go', 'sounds', 'taking', 'threatening', 'remained', 'responded', 'continues', 'curbed', 'removed', 'echo', 'take', 'charged', 'involved', 'replaced', 'fulton', 'surrendered', 'click', 'grew', 'begins', 'updated', 'suspected', 'read', 'blanding', 'cbs', 'looking', 'had', 're', 'needed', 'hits', 'approve', 'seems', 'kills', 'opened', 'call', 'reopened', 'being', 'slowed', 'suffered', 'become', 'improves', 'involving', 'proposes', 'walk', 'led', 'stepping', 'routed', 'says', 'brought', 'monroe', 'get', 'hurt', 'expect', 'does', 'make', 'pray', 'kill', 'occurs', 'catches', 'striking', 'identify', 'support', 'add', 'proposed', 'idaho', 'improving', 'planned', 'trying', 'jones', 'hated', 'build', 'owned', 'hospitalized', 'die', 'going', 'excites', 'jaywalking', 'ended', 'blocked', 'using', 'damn', 'miss', 'taken', 'fled', 'transform', 'has', 'are', 'reports']"
pedestrian,walkway,"['walked', 'celebrate', 'catch', 'crossing', 'intoxicated', 'serve', 'adds', 'called', 'graces', 'visit', 'build', 'causing', 'accommodate', 'standing', 'revere', 'meet', 'block', 'walk', 'ar', 'dedicated', 'killing', 'invited', 'see', 'is', 'transformed', 'taking', 'passing', 'check', 'use', 'closed', 'placed', 'create', 'get', 'offer', 'walking', 'spreading', 'work', 'injured', 'dig', 'said', 'hit', 'blocking', 'practising', 'fail', 'creates', 'need', 'connect', 'captured', 'yield', '’re', 'going', 'say', 'prick', 'paved', 'are', 'safel', 'following', 'include', 'moving', 'lifted', 'learn', 'view', 'thinking', 'go', 'collapsed', 'happening', 'read', 'be', 'making', 'covered', 'live', 'described', 'enclosed', 'was', 'removed', 'designed', 'stalled', 'close', 'pat', 'rose', 'cres', 'pouring', 'matter', 'made', 'saying', 'turn', 'approve', 'flashing', 'become', 'meant', 'provide', 're', 'activate', 'worrying', 'look', 'remains', 'make', 'open', 'move', 'erected', 'excuse', 'notice', 'forgetting', 'beats', 'request', 'ride', 'iced', 'signalized', 'overlook', 'happened', 'seoullo', 'stacked', 'don', 'captures', 'access', 'running', 'want', 'snagged', 'riding', 'vacuum', 'seem', 'extended', 'freaking', 'take', 'shooting', 'posing', 'allowed', 'providing', 'constructed', 'working', 'help', 'glitter', 'grab', 'show', 'have', 'do', 'sounds', 'excels', 'feed', 'rid', 'got', 'creating', 'provides', 'roadworks', 'speeding', 'been', 'killed', 'interfering', 'welcome', 'went']"
