subject,object,predicates
construction,route,"['create', 'palmer']"
traffic,lights,"['are', 'passing', 'went', 'predicated', 'do', 'had', 'get', 'were', 'break', 'used', 'drive', 'coming', 'causing', 'make', 'means', 'have', 'gets', 'keep', 'is', 'put', 'help', 'cross', 're', 'ask', 'build', 'pressed', 'be', 'gone', 'change', 'turning', 'give', 'answer', 'following', 'funded', 'working', 'lane', 'clear', 'rqrd', 'faces', 'accd', 'making', 'squished', 'affected', 'paint', 'expected', 'shudders', 'caused', 'stuck', 'bothered', 'cleared', 'guessing', 'use', 'die', 'flashing', 'improve', 'imagine', 'sana', 'including', 'was', 'got', 'going', 'driving', 'been', 'bypassing', 'sorting', 'match', 'go', 'bound', 'called', 'opened', 'need', 'missed', 'bothers', 'see', 'dithering', 'installed', 'allows', 'redirecting', 'creating', 'seen', 'walang', 'inc', 'built', 'read', 'honoured', 'work', 'retiming', 'mowing', 'has', 'calming']"
motorist,intersection,"['are', 'improve', 'kills']"
pedestrian,woman,"['closed', 'struck', 'read', 'injures', 'injured', 'stuck', 'died', 'killed', 'asserting', 'bound', 'following', 'taken', 'leaves', 'being', 'driving', 'has', 'walking', 'pressed', 'was', 'hitting', 'hit', 'devastated', 'charged', 'billed', 'gets', 'say', 'killing', 'claims', 'striking', 'indicted', 'injuring', 'facing', 'wyoming', 'dies', 'according', 'rushed', 'drags', 'caused', 'is', 'run', 'knocked', 'changing', 'identified', 'helping', 'attempting', 'pulling', 'jailed', 'robbed', 'heads', 'crossing', 'sleeps', 'sends', 'accused', 'suffe', 'drive', 'losing', 'attempted', 'go', 'hurting', 'threatening', 'leaving', 'fucked', 'sustained', 'remains', 'hits', 'left', 'see', 'speak', 'aid', 'arrested', 'drives', 'suffered', 'finds', 'kills', 'be', 'watch', 'saw', 'asked', 'assist', 'reported', 'honks', 'succumbs', 'hospitalized', 'figure', 'covering', 'drove', 'kept', 'pronounced', 'caught', 'fighting', 'took', 'investigating', 'involved', 'remained', 'sent', 'write', 'collided', 'sought', 'found', 'passing', 'says', 'content', 'lodged', 'released', 'flees', 'motorized', 'help', 'intoxicated', 'click', 'pull', 'cited', 'running', 'jaywalking', 'happened', 'hear', 'report', 'get', 'crushed', 'walked', 'licensed', 'knocks', 'clobbered', 'pleads', 'faces', 'make', 'sentenced', 'given', 'assisting', 'suspected', 'had', 'runs', 'commits', 'convicted', 'mention', 'backed', 'fulton', 'stabbed', 'rescued', 'rammed', 'kiss', 'laying', 'needed', 'paying', 'checked', 'done', 'causes', 'climbing', 'apologizing', 'crashes', 'crashed', 'involving', 'follow', 'transported', 'called', 'am', 'ran', 'using', 'reporting', 'stop', 'speed', 'settle', 'protected', 'jumps', 'stopping', 'leads', 'said', 'controlled', 'speaking', 'airlifted', 'jumped', 'related', 'know', 'jun', 'turning', 'cross', 'snatched', 'kill', 'tied', 'lands', 'pushed', 'announced', 'are', 'wants', 'bruised', 'awaits', 'making', 'been', 'were', 'fell', 'labeled', 'put']"
accident,gate,"['kills', 'collapsed']"
bus,bridge,"['add', 'run', 'stop', 'delivering', 'work', 'see', 'reopens', 'walk', 'restricted', 'take', 'do', 'crossing', 'stationed']"
traffic,road,"['need', 'do', 'diverted', 'wed', 'expect', 'accommodate', 'standing', 'investigate', 'cross', 'carried', 'maintained', 'walking', 'pulled', 'remain', 'blocked', 'are', 'see', 'close', 'avoid', 'reside', 'caused', 'moving', 'alternating', 'opened', 'closed', 'divert', 'shuts', 'last', 'struck', 'stop', 'starts', 'installed', 'sank', 'is', 'prevent', 'hit', 'detoured', 'improve', 'shooting', 'calming', 'reopen', 'contact', 'knocked', 'get', 'run', 'change', 'fix', 'left', 'say', 'causing', 'remains', 'gets', 'consider', 'add', 'involved', 'running', 'put', 'have', 'find', 'closes', 'reduce', 'yield', 'killed', 'dodge', 'zag', 'reopening', 'save', 'crossing', 'lies', 'shut', 'given', 'fills', 'broken', 'working', 'crosses', 'coinciding', 'had', 'assist', 'were', 'has', 'following', 'affecting', 'promote', 'begin', '’s', 'ignoring', 'turns', 'controls', 'taking', 'doing', 'squeezing', 'confused', 'read', 'remove', 'leave', 'am', 'send', 'use']"
pedestrian,wheelchair,"['apply', 'enhance', 'use', 'is', 'start', 'doing', '’s', 'bound', 'go', 'approaching', 'do', 'used', 'investigating', 'died', 'got', 'need', 'wait', 'kills', 'are', 'gives', 'enjoying', 'keep', 'motorized', 'killed', 'fixed', 'find', 'becomes', 'hit', 'be', 'walking', 'see', 'knocked', 'travel', 'continues', 'struck', 'identified', 'been', 'was', 'have', 'injured', 'navigating', 'undergrounds', 'bounce', 'looks', 'melt', 'blocking', 'pass', 'crashes', 'blame', 'happen', 'rick', 'kill', 'panned']"
pedestrian,precinct,"['run', 'tweeted', 'spent', 'announce', 're', 'involving', 'tried', 'traveling', 'need', 'riding', 'try', 'walking', 'join', 'left', 'filled', 'be', 'open', 'buy', 'see', 'prop', 'feel', 'contributing', 'cycling', 'is', 'crawley', 'killed', 'closed', 'like', 'talking', 'make', 'heres', 'was', 'developed', 'pursued', 'leading', 'growing', 'finish', 'driving', 'know', 'read', 'breaking', 'employ', 'clog', 'opened', '’s', '’m', 'cobbled']"
pedestrian,crashes,"['block', 'die', 'hit', 'involving', 'occur', 'injured', 'involve', 'focus', 'causing', 'killed', 'contributes', 'dallas', 'jan', 'dies', 'study', 'causes', 'been', 'increase', 'hitting', 'defined', 'said', 'wear', 'shared', 'crossing', 'be', 'buckled', 'taken', 'hospitalized', 'involved', 'hurt', 'injure', 'coming', 'burned', 'stay', 'check', 'view', 'get', 'help', 'seen', 'identified', 'including', 'severed', 'am', 'had', 'account', 'reduce', 'offers', 'struck', 'asking', 'doing', 'injuring', 'run', 'see', 'cost', 'reported', 'know', 'halt', 'say', 'cause', 'reading', 'left', 'climb', 'put', 'blames', 'average', 'fall', 'tweeting', 'take', 'walk', 'prevent', 'have', 'treated', 'running', 'were', 'catering', 'do', 'found', 'shocked', 'killing', 'boise', 'traverse', 'responding', 'remember', 'read', 'are', 'investigating', 'solve', 'learn', 'sfgate', 'continuing', 'happe', 'eradicate', 'stand', 'increased', 'drive', 'understanding', 'contributing', 'following', 'investigate', 'kfox', 'happened', 'pass', 'poses', 'called', 'jul', 'arrested', 'herald', 'dumping', 'miss', 're', 'tracking', 'mapping', 'hailing', 'retire', 'cross', 'plowing', 'crowdsourced', 'steps', 'fuck', 'sent', 'investigated', 'gets', 'decreased']"
