subject,object,predicates,filtered_preds
Parking,Access,"['blocked', 'bing', 'asphalting', 'keeping', 'positioned', 'do', 'provide', 'blocking', 'impeding', 'obstructing', 'interfering', 'make', 'use', 'take', 'paving', 'limiting', 'kidding', 'taken', 'view', 'restricted']","['obstructing', 'taken', 'limiting', 'kidding', 'provide', 'positioned', 'interfering', 'take', 'blocking', 'do']"
Lane,Access,"['maintained', 'remains', 'check', 'turning', 'closed', 'call', 'improve']","['improve', 'turning', 'call', 'check', 'maintained', 'remains', 'closed']"
Freeway,Line,"['hit', 'killed']","['hit', 'killed']"
Bike,Campus,"['hit', 'make', 'watch', 'walking', 'walk', 'have', 'seems']","['walking', 'hit', 'walk', 'make', 'have', 'watch', 'seems']"
Road,Crossing,"['required', 'works', 'made', 'commence', 'feel', 'stop', 'crossing', 'called', 'provide', 'claim', 'taken', 'changing', 'use', 'apply', 'going', 'looks', 'slows', 'running', 'give', 'hate', 'check', 'follow', 'have', 'moving', 'cross', 'does', 'causing', 'saw', 'killed', 'help', 'led', 'fractured', 'run', 'asked', 'chose']","['crossing', 'stop', 'moving']"
Traffic,Subway,"['opened', 'complain', 'walking', 'hear', 'serviced', 'walk', 'find']","['find', 'walking', 'complain', 'serviced', 'walk', 'opened', 'hear']"
Motorist,Front,"['do', 'wanker']","['do', 'wanker']"
Cyclist,Walkway,['considered'],['considered']
Bike,Ramp,"['completed', 'finished', 'experience']","['completed', 'finished', 'experience']"
Bus,Crossing,"['parking', 'found', 'parked', 'left', 'dealing', 'stops', 'come', 'park', 'blocking', 'noticed', 'taking', 'weren', 'screamed', 'slowed', 'need', 'stop', 'prioritize', 'coming', 'doing', 'walk', 'hit', 'isn', 'causes']",['parking']
City,Tunnel,"['approves', 'saved', 'having', 'learn', 'expect', 'think', 'raped', 'needs', 'getting', 'start']","['having', 'saved', 'need', 'raped', 'expect', 'start', 'learn', 'approves', 'think', 'getting']"
Driver,Walker,"['crossing', 'gets', 'walks', 'had', 'killed', 'stayed', 'wearing', 'wasn', 'blame', 'charged', 'blamed']","['blame', 'charged', 'crossing', 'wasn', 'had', 'stayed', 'get', 'killed', 'wearing', 'walk']"
Traffic,Entrance,"['stuck', 'avoid', 'congested', 'get', 'serves', 'affected', 'stay', 'hit']","['hit', 'avoid', 'affected', 'congested', 'get', 'stuck', 'serf', 'stay']"
Tourist,Path,['hit'],['hit']
Entrance,Ramp,['rename'],['rename']
Vehicle,Path,"['entered', 'make', 'drove', 'take', 'help', 'injured', 'act']","['act', 'entered', 'injured', 'drove', 'make', 'take', 'help']"
Woman,Wheelchair,"['parked', 'charged']","['parked', 'charged']"
Accident,Footbridge,"['reduced', 'supporting', 'using', 'need', 'use', 'hit']","['hit', 'supporting', 'using', 'use', 'need', 'reduced']"
Cyclist,Campus,['follow'],['follow']
Intersection,Crossing,"['shared', 'cry', 'have', 'switch', 'energized', 'using', 'replacing', 'run', 'ran', 'do', 'closed', 'bend', 'hoping', 'turning', 'constitute', 'lacking', 'signalized', 'cross', 'covers', 'imagine']","['turning', 'run', 'switch', 'hoping', 'replacing', 'using', 'constitute', 'shared', 'have', 'ran']"
Road,Pathway,"['get', 'give', 'make', 'cross', 'required', 'banning', 'crossing', 'provided', 'happens', 'argue', 'see']","['give', 'provided', 'happens', 'crossing', 'see', 'required', 'banning', 'make', 'cross', 'get']"
Lane,Lights,"['allows', 'tome', 'hack', 'get', 'love', 'becomes', 'centred', 'foresee', 'coming', 'go', 'interact', 'promote', 'buena']","['becomes', 'promote', 'interact', 'hack', 'tome', 'love', 'foresee', 'allows', 'get', 'go']"
Road,Junctions,"['revealed', 'designed', 'cross', 'count', 'own', 'care']","['revealed', 'count', 'own', 'cross', 'designed', 'care']"
Street,Shopping,"['depends', 'covered', 'shopping', 'nanjing', 'walking', 'done', 'becomes']","['becomes', 'walking', 'shopping', 'covered', 'done', 'depends']"
Parking,Stop,"['tried', 'falls']","['tried', 'falls']"
Driver,Front,"['got', 'passing', 'have', 'stop', 'running', 'observe', 'parked', 'walk', 'glanced', 'walking', 'trumps', 'dare', 'joins', 'walks', 'standing', 'see', 'end']","['walking', 'standing', 'see', 'trump', 'observe', 'got', 'parked', 'passing', 'walk', 'walk']"
Street,Crossing,"['crowding', 'kept', 'turn', 'run', 'added', 'need', 'create', 'hunts', 'loaded', 'songlines', 'crossing', 'going', 'working', 'die', 'coming', 'rd']","['kept', 'rd', 'added', 'hunt', 'crossing', 'create', 'songlines', 'turn', 'crowding', 'run']"
Road,Walking,"['disincentivising', 'turning', 'put', 'causes']","['disincentivising', 'turning', 'put', 'causes']"
Gate,Path,['blocks'],['blocks']
Lane,Crossing,"['stop', 'help', 'endangers', 'separated', 'miss', 'letting', 'cross', 'improve', 'assisted', 'transforming', 'does', 'decided']","['assisted', 'improve', 'transforming', 'separated', 'cross', 'endangers', 'miss', 'decided', 'doe', 'stop']"
Walking,Neighborhoods,"['look', 'occur']","['look', 'occur']"
Bicycle,Path,"['encountering', 'turn', 'take', 'maintain', 'shared', 'open', 'guess']","['maintain', 'guess', 'open', 'shared', 'take', 'encountering', 'turn']"
Parking,Ramp,"['blocking', 'belong', 'obstructing', 'authorized', 'stop', 'stopped', 'expired', 'see', 'covered', 'displayed', 'display', 'stopping', 'standing', 'drove', 'posted']","['display', 'blocking', 'obstructing', 'expired', 'stopped', 'standing', 'see', 'displayed', 'drove', 'covered']"
Woman,Highway,"['passing', 'killed', 'identified', 'crossing', 'struck', 'hit', 'moving']","['hit', 'crossing', 'passing', 'struck', 'identified', 'killed', 'moving']"
Street,Trail,"['happens', 'thank', 'serves', 'trawling', 'include', 'overcrossing']","['happens', 'thank', 'include', 'trawling', 'serf']"
